name,discount_price,original_price,discount_percent,review,rating,reviews_stars
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990","₹93,690",46% off,"1,819 Ratings&197 Reviews",,4.4
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,"₹64,990","₹92,390",29% off,"1,514 Ratings&124 Reviews",,4.4
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹15,990","₹32,990",51% off,"6,718 Ratings&601 Reviews",,3.8
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹38,990","₹56,919",31% off,"1,994 Ratings&130 Reviews",,4.3
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,"₹46,990","₹89,990",47% off,"3,432 Ratings&273 Reviews",,4.3
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹50,990","₹93,990",45% off,"1,819 Ratings&197 Reviews",,4.4
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-...,"₹49,990","₹82,789",39% off,"14,515 Ratings&1,164 Reviews",,4.4
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"₹12,990","₹28,690",54% off,"3,161 Ratings&269 Reviews",,3.9
DELL 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3535 / 15 DC 15255 Th...,"₹28,990","₹41,198",29% off,"1,882 Ratings&251 Reviews",,4.3
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹19,990","₹35,999",44% off,"6,718 Ratings&601 Reviews",,3.8
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,"₹68,990","₹1,10,490",37% off,578 Ratings&69 Reviews,,4.4
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi...,"₹64,990","₹1,04,890",38% off,578 Ratings&69 Reviews,,4.4
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹26,990","₹44,990",40% off,"1,211 Ratings&94 Reviews",,4.1
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,"₹34,990","₹59,990",41% off,"2,956 Ratings&308 Reviews",,4.1
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,"₹26,990","₹43,000",37% off,"5,386 Ratings&397 Reviews",,4.2
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,"₹12,789","₹16,999",24% off,"1,720 Ratings&130 Reviews",,4
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,"₹57,990","₹1,10,490",47% off,578 Ratings&69 Reviews,,4.4
HP 15s Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0006TU / 15-fd0569TU Thin...,"₹34,990","₹50,903",31% off,634 Ratings&44 Reviews,,4.2
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹32,886","₹56,990",42% off,"2,486 Ratings&190 Reviews",,4.1
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹17,990","₹33,399",46% off,"6,718 Ratings&601 Reviews",,3.8
