name,descount_price,orginal_price,descount_Percent,review,reviews,rating
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹18,999","₹22,999",17% off,"7,745 Ratings & 790 Reviews","7,745 Ratings & 790 Reviews","7,745 Ratings & 790 Reviews"
"Nothing Phone (3a) (Black, 256 GB)","₹26,999","₹29,999",10% off,"22,183 Ratings & 2,068 Reviews","22,183 Ratings & 2,068 Reviews","22,183 Ratings & 2,068 Reviews"
"REDMI A5 (Jaisalmer Gold, 64 GB)","₹6,499","₹8,999",27% off,997 Ratings & 49 Reviews,997 Ratings & 49 Reviews,997 Ratings & 49 Reviews
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹19,999","₹24,999",20% off,"10,450 Ratings & 759 Reviews","10,450 Ratings & 759 Reviews","10,450 Ratings & 759 Reviews"
"Nothing Phone (3a) Pro (Black, 128 GB)","₹28,999","₹32,999",12% off,"4,225 Ratings & 442 Reviews","4,225 Ratings & 442 Reviews","4,225 Ratings & 442 Reviews"
"Samsung Galaxy F05 (Twilight Blue, 64 GB)","₹6,249","₹9,999",37% off,"52,166 Ratings & 3,074 Reviews","52,166 Ratings & 3,074 Reviews","52,166 Ratings & 3,074 Reviews"
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,899","₹2,199",13% off,"7,958 Ratings & 507 Reviews","7,958 Ratings & 507 Reviews","7,958 Ratings & 507 Reviews"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,140","₹1,599",28% off,"1,54,347 Ratings & 9,680 Reviews","1,54,347 Ratings & 9,680 Reviews","1,54,347 Ratings & 9,680 Reviews"
"REDMI 13 5G (Orchid Pink, 128 GB)","₹13,999","₹19,999",30% off,"8,806 Ratings & 522 Reviews","8,806 Ratings & 522 Reviews","8,806 Ratings & 522 Reviews"
"REDMI A3X (Ocean Green, 64 GB)","₹5,999","₹9,999",40% off,"6,317 Ratings & 302 Reviews","6,317 Ratings & 302 Reviews","6,317 Ratings & 302 Reviews"
"vivo T4x 5G (Marine Blue, 128 GB)","₹13,999","₹17,999",22% off,"59,181 Ratings & 3,326 Reviews","59,181 Ratings & 3,326 Reviews","59,181 Ratings & 3,326 Reviews"
"POCO C75 5G (Enchanted Green, 64 GB)","₹7,699","₹10,999",30% off,"60,376 Ratings & 3,133 Reviews","60,376 Ratings & 3,133 Reviews","60,376 Ratings & 3,133 Reviews"
Nokia 105 Classic with Charger,"₹1,134","₹1,399",18% off,"5,050 Ratings & 307 Reviews","5,050 Ratings & 307 Reviews","5,050 Ratings & 307 Reviews"
"MOTOROLA g05 (Forest Green, 64 GB)","₹6,999","₹9,999",30% off,"31,078 Ratings & 2,382 Reviews","31,078 Ratings & 2,382 Reviews","31,078 Ratings & 2,382 Reviews"
"REDMI A3X (Olive Green, 64 GB)","₹5,999","₹9,999",40% off,"6,317 Ratings & 302 Reviews","6,317 Ratings & 302 Reviews","6,317 Ratings & 302 Reviews"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,136","₹1,399",18% off,"1,54,347 Ratings & 9,680 Reviews","1,54,347 Ratings & 9,680 Reviews","1,54,347 Ratings & 9,680 Reviews"
"REDMI 13 5G (Orchid Pink, 128 GB)","₹12,499","₹17,999",30% off,"36,801 Ratings & 1,942 Reviews","36,801 Ratings & 1,942 Reviews","36,801 Ratings & 1,942 Reviews"
"REDMI A5 (Pondicherry Blue, 64 GB)","₹6,499","₹8,999",27% off,997 Ratings & 49 Reviews,997 Ratings & 49 Reviews,997 Ratings & 49 Reviews
"MOTOROLA g05 (Plum Red, 64 GB)","₹6,999","₹9,999",30% off,"31,078 Ratings & 2,382 Reviews","31,078 Ratings & 2,382 Reviews","31,078 Ratings & 2,382 Reviews"
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999","₹14,999",20% off,"1,67,497 Ratings & 8,884 Reviews","1,67,497 Ratings & 8,884 Reviews","1,67,497 Ratings & 8,884 Reviews"
